Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,595.000000,596.000000,592.000000,594.000000,581.832092,16707080
2021-09-29,580.000000,583.000000,577.000000,580.000000,568.118896,49310524
2021-09-30,580.000000,585.000000,575.000000,580.000000,568.118896,30465107
2021-10-01,579.000000,579.000000,571.000000,574.000000,562.241821,36704493
2021-10-04,574.000000,575.000000,569.000000,572.000000,560.282837,20957803
2021-10-05,562.000000,572.000000,560.000000,572.000000,560.282837,33824024
2021-10-06,573.000000,574.000000,565.000000,571.000000,559.303162,32508846
2021-10-07,575.000000,582.000000,572.000000,580.000000,568.118896,27933054
2021-10-08,582.000000,583.000000,573.000000,575.000000,563.221313,18279079
2021-10-12,570.000000,575.000000,564.000000,575.000000,563.221313,26522907
2021-10-13,572.000000,575.000000,570.000000,571.000000,559.303162,18914374
2021-10-14,579.000000,579.000000,573.000000,573.000000,561.262329,13916927
2021-10-15,592.000000,600.000000,586.000000,600.000000,587.709229,53150216
2021-10-18,604.000000,604.000000,590.000000,590.000000,577.914001,19158568
2021-10-19,598.000000,600.000000,593.000000,600.000000,587.709229,17386359
2021-10-20,603.000000,604.000000,597.000000,598.000000,585.750122,16372520
2021-10-21,602.000000,603.000000,595.000000,596.000000,583.791138,16169014
2021-10-22,600.000000,602.000000,594.000000,600.000000,587.709229,13995403
2021-10-25,597.000000,597.000000,590.000000,593.000000,580.852600,16785568
2021-10-26,595.000000,600.000000,593.000000,599.000000,586.729675,19998808
2021-10-27,598.000000,599.000000,594.000000,599.000000,586.729675,14961858
2021-10-28,598.000000,598.000000,591.000000,595.000000,582.811646,16570044
2021-10-29,595.000000,596.000000,589.000000,590.000000,577.914001,25763960
2021-11-01,591.000000,593.000000,590.000000,590.000000,577.914001,16089351
2021-11-02,594.000000,597.000000,590.000000,592.000000,579.873108,15192404
2021-11-03,597.000000,597.000000,592.000000,592.000000,579.873108,10224009
2021-11-04,592.000000,594.000000,585.000000,587.000000,574.975525,17932145
2021-11-05,598.000000,600.000000,595.000000,600.000000,587.709229,33270827
2021-11-08,600.000000,602.000000,598.000000,602.000000,589.668274,19752355
2021-11-09,611.000000,617.000000,610.000000,611.000000,598.483887,39538660
2021-11-10,611.000000,612.000000,608.000000,612.000000,599.463440,16027674
2021-11-11,600.000000,606.000000,600.000000,606.000000,593.586304,18463848
2021-11-12,610.000000,611.000000,602.000000,604.000000,591.627258,15821327
2021-11-15,609.000000,611.000000,607.000000,608.000000,595.545288,15551452
2021-11-16,612.000000,612.000000,608.000000,610.000000,597.504395,20917108
2021-11-17,615.000000,615.000000,608.000000,610.000000,597.504395,19717852
2021-11-18,613.000000,614.000000,607.000000,613.000000,600.442932,20030651
2021-11-19,622.000000,623.000000,617.000000,618.000000,605.340454,35554348
2021-11-22,618.000000,618.000000,615.000000,615.000000,602.401917,20312168
2021-11-23,615.000000,615.000000,611.000000,612.000000,599.463440,19431694
2021-11-24,612.000000,612.000000,602.000000,603.000000,590.647766,20391940
2021-11-25,605.000000,607.000000,601.000000,603.000000,590.647766,11888265
2021-11-26,598.000000,601.000000,592.000000,596.000000,583.791138,26588102
2021-11-29,594.000000,598.000000,591.000000,593.000000,580.852600,23379558
2021-11-30,597.000000,600.000000,591.000000,596.000000,583.791138,62021697
2021-12-01,596.000000,603.000000,594.000000,600.000000,587.709229,21403404
2021-12-02,605.000000,615.000000,602.000000,615.000000,602.401917,45125742
2021-12-03,614.000000,614.000000,606.000000,608.000000,595.545288,23045832
2021-12-06,603.000000,609.000000,600.000000,600.000000,587.709229,23589363
2021-12-07,602.000000,607.000000,597.000000,607.000000,594.565796,18606530
2021-12-08,614.000000,614.000000,602.000000,602.000000,589.668274,20801543
2021-12-09,606.000000,608.000000,602.000000,608.000000,595.545288,11039070
2021-12-10,605.000000,608.000000,602.000000,605.000000,592.606750,10497451
2021-12-13,609.000000,610.000000,601.000000,601.000000,588.688721,17711657
2021-12-14,598.000000,600.000000,597.000000,599.000000,586.729675,22579034
2021-12-15,597.000000,601.000000,596.000000,600.000000,587.709229,21827730
2021-12-16,605.000000,605.000000,601.000000,605.000000,595.335388,21809022
2021-12-17,601.000000,607.000000,599.000000,607.000000,597.303467,24105733
2021-12-20,607.000000,607.000000,598.000000,598.000000,588.447205,21381070
2021-12-21,597.000000,600.000000,595.000000,597.000000,587.463196,17001461
2021-12-22,598.000000,601.000000,598.000000,600.000000,590.415283,9831802
2021-12-23,607.000000,608.000000,602.000000,606.000000,596.319458,16654439
2021-12-24,606.000000,609.000000,604.000000,604.000000,594.351379,11059689
2021-12-27,604.000000,610.000000,604.000000,606.000000,596.319458,16259872
2021-12-28,610.000000,615.000000,610.000000,615.000000,605.175659,33892718
2021-12-29,615.000000,619.000000,614.000000,616.000000,606.159668,24518766
2021-12-30,619.000000,620.000000,615.000000,615.000000,605.175659,19681276
2022-01-03,619.000000,632.000000,618.000000,631.000000,620.920044,69089158
2022-01-04,645.000000,656.000000,644.000000,656.000000,645.520752,79434666
2022-01-05,669.000000,669.000000,646.000000,650.000000,639.616577,69593809
2022-01-06,638.000000,646.000000,636.000000,644.000000,633.712402,53210211
2022-01-07,643.000000,646.000000,632.000000,634.000000,623.872192,38249908
2022-01-10,628.000000,645.000000,627.000000,643.000000,632.728394,38289770
2022-01-11,646.000000,651.000000,639.000000,651.000000,640.600586,33196585
2022-01-12,657.000000,660.000000,650.000000,660.000000,649.456787,38860063
2022-01-13,658.000000,662.000000,655.000000,661.000000,650.440796,38137411
2022-01-14,673.000000,673.000000,661.000000,672.000000,661.265137,95200777
2022-01-17,685.000000,688.000000,678.000000,683.000000,672.089355,59614236
2022-01-18,678.000000,681.000000,662.000000,662.000000,651.424866,43593330
2022-01-19,652.000000,660.000000,651.000000,654.000000,643.552673,40381333
2022-01-20,650.000000,657.000000,646.000000,651.000000,640.600586,46474584
2022-01-21,644.000000,646.000000,637.000000,641.000000,630.760376,49577684
2022-01-24,639.000000,655.000000,637.000000,653.000000,642.568665,47134502
2022-01-25,643.000000,645.000000,638.000000,641.000000,630.760376,52318736
2022-01-26,635.000000,641.000000,635.000000,636.000000,625.840210,29957189
2022-02-07,644.000000,644.000000,631.000000,635.000000,624.856201,56836469
2022-02-08,645.000000,645.000000,628.000000,628.000000,617.968018,39718217
