Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,65.800003,66.000000,65.300003,65.300003,61.326370,80605472
2021-09-29,63.599998,64.300003,63.000000,63.000000,59.166328,217250781
2021-09-30,63.299999,64.400002,62.500000,64.000000,60.105476,120716424
2021-10-01,63.400002,63.799999,62.099998,62.599998,58.790668,142501064
2021-10-04,63.099998,63.299999,60.599998,60.799999,57.100201,131200706
2021-10-05,58.700001,61.299999,58.000000,61.099998,57.381947,189918094
2021-10-06,61.500000,61.700001,59.500000,59.900002,56.254971,131848168
2021-10-07,60.900002,62.599998,60.799999,62.500000,58.696754,151354156
2021-10-08,62.599998,62.599998,61.000000,61.099998,57.381947,115041097
2021-10-12,59.500000,59.700001,58.500000,58.500000,54.940163,162345809
2021-10-13,58.299999,58.900002,56.400002,56.400002,52.967953,228247159
2021-10-14,57.299999,57.599998,56.500000,56.700001,53.249695,118769240
2021-10-15,58.200001,60.200001,58.000000,59.099998,55.503651,212901390
2021-10-18,59.700001,59.700001,58.400002,58.400002,54.846249,119794110
2021-10-19,59.099998,59.900002,58.400002,59.599998,55.973225,103789955
2021-10-20,59.799999,60.200001,58.299999,58.700001,55.127991,150190445
2021-10-21,58.099998,59.099998,57.400002,58.000000,54.470589,131526430
2021-10-22,58.000000,58.500000,57.200001,58.299999,54.752331,103407443
2021-10-25,58.000000,59.400002,57.299999,59.400002,55.785397,122194078
2021-10-26,59.799999,60.799999,59.400002,59.799999,56.161053,179013620
2021-10-27,60.000000,61.900002,59.599998,61.900002,58.133266,205373116
2021-10-28,60.700001,61.099998,59.799999,59.799999,56.161053,273608270
2021-10-29,59.500000,59.500000,58.000000,58.000000,54.470589,228569205
2021-11-01,58.099998,58.599998,57.400002,57.599998,54.094929,133814105
2021-11-02,58.200001,60.200001,58.099998,59.000000,55.409737,196050588
2021-11-03,60.000000,60.099998,59.000000,59.200001,55.597565,93460973
2021-11-04,59.900002,59.900002,58.500000,58.599998,55.034077,76279150
2021-11-05,59.599998,60.900002,59.200001,60.400002,56.724545,186857464
2021-11-08,60.700001,62.500000,60.500000,62.500000,58.696754,207476998
2021-11-09,63.799999,64.900002,63.099998,63.099998,59.260242,229429473
2021-11-10,63.400002,64.000000,62.400002,63.099998,59.260242,126681412
2021-11-11,62.400002,62.799999,62.099998,62.200001,58.415012,108353293
2021-11-12,63.299999,63.799999,62.500000,62.599998,58.790668,108567895
2021-11-15,63.599998,63.700001,62.799999,63.400002,59.541988,74553814
2021-11-16,63.700001,63.700001,63.000000,63.000000,59.166328,74721656
2021-11-17,63.299999,64.099998,62.700001,63.599998,59.729816,111469217
2021-11-18,63.599998,63.900002,63.000000,63.099998,59.260242,82944078
2021-11-19,64.199997,66.099998,64.000000,65.099998,61.138538,368830431
2021-11-22,65.500000,66.000000,64.599998,64.699997,60.762878,151356281
2021-11-23,64.500000,64.500000,62.900002,63.200001,59.354160,136256721
2021-11-24,62.700001,63.400002,62.500000,63.099998,59.260242,93267750
2021-11-25,63.500000,63.500000,62.599998,63.000000,59.166328,67682737
